Lake,RUN,Identifier,Code,Species,Identifier2,Amount,d13C,d13C',d15N,%C,%N,C/N,Untreated d2H,Treated d2H,Teated-Untreated,MC2 Muscle,MC2 resids,LN model,LN resid,,
,,,,,,,,,,,M,3.18,,,15.30131962,6.40828987,-8.89302975,7.995086306,-7.306233314,,
,,,,,,,,,,,M,3.33,,,19.98207585,10.96274601,-9.019329841,12.56981306,-7.41226279,,
,,,,,,,,,,,M,3.47,,,25.12764188,14.84966176,-10.27798012,16.65732007,-8.470321811,,
,,,,,,,,,,,M,3.41,,,19.41889737,13.2238907,-6.195006669,14.92610176,-4.49279561,,
,,,,,,,,,,,M,3.3,,,7.284406408,10.08582758,2.801421168,11.67158069,4.387174278,,
,,,,,,,,,,,M,3.3,,,15.19399988,10.08582758,-5.108172304,11.67158069,-3.522419194,,
,,,,,,,,,,,M,3.44,,,12.08702876,14.04403958,1.957010815,15.79548542,3.708456661,,
,,,,,,,,,,,M,3.33,,,,10.96274601,10.96274601,12.56981306,12.56981306,,
,,,,,,,,,,,M,3.24,,,,8.281999869,8.281999869,9.850355276,9.850355276,,
,,,,,,,,,,,M,3.27,,,19.77068154,9.192402364,-10.57827918,10.76514516,-9.005536378,,
,,,,,,,,,,,M,3.3,,,12.71919852,10.08582758,-2.633370944,11.67158069,-1.047617834,,
,,,,,,,,,,,M,3.31,,,10.2198445,10.37994508,0.160100576,11.97189559,1.75205109,,
,,,,,,,,,,,M,3.32,,,7.908777162,10.67224563,2.763468463,12.27130456,4.362527403,,
,,,,,,,,,,,M,3.34,,,31.73742688,11.2514628,-20.48596408,12.86742648,-18.8700004,,
,,,,,,,,,,,M,3.58,,,16.87691707,17.68536688,0.80844981,19.75485939,2.877942322,,
,,,,,,,,,,,M,3.39,,,31.76189403,12.6688592,-19.09303483,14.34225302,-17.41964101,,
,,,,,,,,,,,M,3.31,,,9.653472628,10.37994508,0.726472448,11.97189559,2.318422962,,
,,,,,,,,,,,M,3.29,,,,9.789876131,9.789876131,11.37035435,11.37035435,,
,,,,,,,,,,,M,3.23,,,25.58971541,7.974675735,-17.61503967,9.543542049,-16.04617336,,
,,,,,,,,,,,M,3.24,,,11.48561113,8.281999869,-3.203611261,9.850355276,-1.635255854,,
,,,,,,,,,,,M,3.35,,,17.67686022,11.53841239,-6.13844783,13.16415017,-4.512710054,,
,,,,,,,,,,,M,3.23,,,12.29448447,7.974675735,-4.319808735,9.543542049,-2.750942421,,
,,,,,,,,,,,M,3.49,,,20.52486183,15.37886231,-5.145999519,17.22774693,-3.297114904,,
,,,,,,,,,,,M,3.48,,,19.04002666,15.11504085,-3.924985811,16.94294329,-2.097083373,,
,,,,,,,,,,,M,3.41,,,16.71053603,13.2238907,-3.486645329,14.92610176,-1.78443427,,
,,,,,,,,,,,M,3.26,,,12.41763633,8.890844977,-3.526791353,10.46115105,-1.95648528,,
,,,,,,,,,,,M,3.3,,,10.26982998,10.08582758,-0.184002404,11.67158069,1.401750706,,
,,,,,,,,,,,M,3.17,,,,6.08892469,6.08892469,7.682475024,7.682475024,,
,,,,,,,,,,,M,3.27,,,15.92397931,9.192402364,-6.731576946,10.76514516,-5.158834148,,
,,,,,,,,,,,M,3.29,,,23.91168693,9.789876131,-14.1218108,11.37035435,-12.54133258,,
,,,,,,,,,,,M,3.26,,,27.48008295,8.890844977,-18.58923797,10.46115105,-17.0189319,,
,,,,,,,,,,,M,3.25,,,3.634772283,8.587383509,4.952611226,10.15622301,6.521450724,,
,,,,,,,,,,,M,3.4,,,10.80039334,12.94721148,2.146818135,14.63460669,3.83421335,,
,,,,,,,,,,,M,3.41,,,21.3033324,13.2238907,-8.079441699,14.92610176,-6.37723064,,
,,,,,,,,,,,M,3.32,,,10.70693044,10.67224563,-0.034684815,12.27130456,1.564374125,,
,,,,,,,,,,,M,3.32,,,22.73168928,10.67224563,-12.05944365,12.27130456,-10.46038472,,
,,,,,,,,,,,M,3.25,,,17.82813647,8.587383509,-9.240752961,10.15622301,-7.671913463,,
,,,,,,,,,,,M,3.38,,,13.71696765,12.38881865,-1.328148995,14.04903567,0.33206802,,
,,,,,,,,,,,M,3.29,,,9.265855922,9.789876131,0.524020209,11.37035435,2.104498432,,
,,,,,,,,,,,M,3.29,,,8.520944146,9.789876131,1.268931985,11.37035435,2.849410208,,
,,,,,,,,,,,M,3.26,,,0.47297845,8.890844977,8.417866527,10.46115105,9.9881726,,
,,,,,,,,,,,M,3.23,,,16.0872573,7.974675735,-8.112581565,9.543542049,-6.543715251,,
,,,,,,,,,,,M,3.28,,,7.085431261,9.492073535,2.406642274,11.06821105,3.982779785,,
,,,,,,,,,,,M,3.36,,,19.2798133,11.82361094,-7.456202361,13.45998943,-5.819823869,,
,,,,,,,,,,,M,3.28,,,10.51641942,9.492073535,-1.024345885,11.06821105,0.551791626,,
,,,,,,,,,,,M,3.25,,,6.928248894,8.587383509,1.659134615,10.15622301,3.227974113,,
,,,,,,,,,,,M,3.26,,,12.19293969,8.890844977,-3.302094713,10.46115105,-1.73178864,,
,,,,,,,,,,,WF,4.51,,,35.97372984,36.02841911,0.054689268,42.67601767,6.702287835,,
,,,,,,,,,,,WF,3.46,,,25.8031432,14.58271121,-11.22043199,16.37087254,-9.43227066,,
,,,,,,,,,,,WF,5.18,,,61.31396027,45.09541351,-16.21854676,56.42348106,-4.890479215,,
,,,,,,,,,,,WF,4.99,,,61.68310393,42.77566844,-18.90743549,52.71444379,-8.968660142,,
,,,,,,,,,,,WF,5.11,,,64.9638088,44.26116989,-20.70263891,55.07306567,-9.890743134,,
,,,,,,,,,,,WF,4.13,,,28.38874946,29.55188201,1.163132548,33.93970575,5.550956292,,
,,,,,,,,,,,WF,3.89,,,35.48369607,24.79536115,-10.68833492,27.99754253,-7.486153539,,
,,,,,,,,,,,WF,5.62,,,84.93427482,49.85627724,-35.07799758,64.51532297,-20.41895185,,
,,,,,,,,,,,WF,4.31,,,31.8708053,32.7648529,0.894047599,38.17393074,6.303125435,,
,,,,,,,,,,,WF,3.87,,,32.23210254,24.37177428,-7.860328259,27.48592284,-4.746179698,,
,,,,,,,,,,,WF,3.8,,,41.86971869,22.85332773,-19.01639096,25.67419588,-16.19552281,,
,,,,,,,,,,,WF,4.77,,,36.34031068,39.8547098,3.514399117,48.23912015,11.89880947,,
,,,,,,,,,,,WF,3.74,,,22.04509201,21.50554127,-0.539550742,24.09452328,2.049431267,,
,,,,,,,,,,,WF,4.18,,,44.18274126,30.47268982,-13.71005144,35.13411246,-9.048628796,,
,,,,,,,,,,,WF,3.74,,,33.95506301,21.50554127,-12.44952174,24.09452328,-9.860539733,,
,,,,,,,,,,,WF,5.91,,,,52.60104662,52.60104662,69.50920535,69.50920535,,
,,,,,,,,,,,WF,8.05,,,95.72258447,66.67813821,-29.04444626,100.1812978,4.458713293,,
,,,,,,,,,,,WF,4.99,,,37.36559971,42.77566844,5.410068732,52.71444379,15.34884408,,
,,,,,,,,,,,WF,4.14,,,,29.73785909,29.73785909,34.17973973,34.17973973,,
,,,,,,,,,,,WF,3.87,,,29.56298912,24.37177428,-5.191214839,27.48592284,-2.077066278,,
