Tissue,Species,Site,Fish length (cm),Fish weight (gram),W/L^3,Sex (M/F),Maturity,Codelake,d2H water,Sample#,Lipid % CN,Lipid % H,Lipid % AVG,Lipid (Mc2),MC2 difference  d13C,MC2 d13C,Fry difference d13C,Fry difference d2H,Fry Modelled d2H,Residuals,d13C,d15N,%C,%N,C/N,d2H
WF,Roach,Shore,18.1,60.7,0.010236535,F,M,HIR,-85.84591284,7,8.8,11.99706044,10.39853022,13.96432796,1.607906316,-29.07899799,1.571726816,26.42297311,-97.12078743,3.140016008,-30.69,7.07,38.13,9.86,3.87,-123.54
WF,Perch,Shore,28.4,328.8,0.014354127,F,M,HIR,-85.84591284,12,12.82569178,14.70994475,13.76781827,21.33169632,2.231576566,-31.02026345,2.183866917,36.71392269,-89.3767806,2.760448324,-33.25,10.33,46.75,10.72,4.36,-126.09
WF,Ruffe,Shore,14.7,37.6,0.011836842,F,M,HIR,-85.84591284,19,13.22053905,15.17834556,14.19944231,28.57900441,2.816671435,-32.85742499,2.760808952,46.41314249,-90.92207182,17.73726771,-35.67,9.66,41.8,8.44,4.95,-137.34
WF,Pike,Shore,33.3,201,0.005443314,M(?),I,HIR,-85.84591284,24,3.36,4.208289054,3.784144527,4.828998382,0.790841347,-30.12095347,0.774167547,13.01486243,-88.53144951,11.79594905,-30.91,9.24,41.02,12.16,3.37,-101.55
WF,Bleak,Pelagic,13.6,17.8,0.007076252,F,M,JOR,-76.85762,2,25.69567792,23.60506529,24.65037161,31.02860521,3.008404435,-28.11786297,2.950434386,49.60101694,-104.327562,2.287281253,-31.13,10,44.86,8.65,5.19,-153.93
WF,Vendace,Pelagic,17.4,48.5,0.009206488,F,M,JOR,-76.85762,10,18.4,20.38257173,19.39128587,19.28164726,2.061046505,-30.36445158,2.016199297,33.89519047,-113.2725881,9.847859209,-32.43,11.12,45.06,10.69,4.21,-147.17
WF,Roach,Pelagic,14,25.8,0.009402332,F,I,JOR,-76.85762,14,13.59164826,14.22932702,13.91048764,25.16858161,2.544722871,-29.19483944,2.492327831,41.89959131,-102.2742885,4.05526866,-31.74,10.36,40.3,8.65,4.66,-144.17
WF,Perch,Pelagic,15.7,38.5,0.009948595,F,M,JOR,-76.85762,21,8.579522461,9.155766944,8.867644702,14.2171381,1.629812949,-27.8950203,1.593179016,26.78361523,-97.53069035,2.950337337,-29.52,12.08,38.11,9.81,3.88,-124.31
WF,Perch,Shore,20.4,124.5,0.014664891,M,I,JOR,-76.85762,27,15.12997563,14.9970006,15.06348811,21.5326987,2.248174639,-29.98349768,2.200198078,36.98847282,-98.24566931,-5.260090412,-32.23,12.35,43.28,9.89,4.38,-135.23
WF,Pike,Shore,43.3,470.1,0.00579064,F,M,JOR,-76.85762,38,5.56,5.677749361,5.61887468,3.76372066,0.692220206,-28.74711205,0.678236354,11.40212202,-102.8692174,34.88550168,-29.44,13.11,31.82,9.58,3.32,-114.27
WF,Roach,Profundal,15.3,31.3,0.008739167,M,M,PAN,-72.34988051,2,5.02,5.024038462,5.022019231,9.382155113,1.204372224,-29.28227535,1.177204936,19.7904967,-87.10346617,5.156767483,-30.49,13.01,39.16,10.86,3.61,-106.89
WF,Bleak,Pelagic,14.5,18.9,0.006199516,M,M,PAN,-72.34988051,6,11.94,11.46290733,11.70145366,18.6777168,2.010373342,-26.86938871,1.966418877,33.0583105,-91.29637222,23.00635998,-28.88,10.5,35.95,8.62,4.17,-124.35
WF,Perch,Pelagic,14.2,27.5,0.009604343,F,I,PAN,-72.34988051,11,4.804985927,5.57855742,5.191771673,8.062731632,1.08585168,-29.15174242,1.061561968,17.8463732,-101.0554753,3.955113951,-30.24,12.9,32.66,9.24,3.54,-118.9
WF,Perch,Shore,18.7,88.2,0.013487882,F,M,PAN,-72.34988051,18,7.770800628,6.104218362,6.937509495,11.79723897,1.418601798,-28.79055305,1.386498719,23.30902417,-90.66704937,18.06374184,-30.21,14,34.21,9.14,3.74,-113.98
WF,Bleak,Pelagic,15.7,36,0.009302583,F,M,PUS,-68.19082365,8,21.96,22.95311407,22.45655703,31.44254675,3.040512755,-28.05869557,2.982217069,50.13532924,-102.3105212,-11.492444,-31.1,12.81,48.51,9.28,5.23,-152.45
WF,Roach,Pelagic,12.5,20.2,0.0103424,M,M,PUS,-68.19082365,19,20.3,21.67536664,20.98768332,32.36583914,3.111830162,-26.22839633,3.052839241,51.32258883,-115.7010028,0.881758064,-29.34,12.18,50.54,9.5,5.32,-167.02
WF,Perch,Pelagic,13.9,33.7,0.012548318,F,I,PUS,-68.19082365,35,15.12,16.1835245,15.65176225,24.74088157,2.510197991,-28.74414944,2.458283199,41.32725242,-91.99326199,-19.0808752,-31.25,13.21,49.07,10.61,4.62,-133.32
WF,Roach,Pelagic,13.2,25.3,0.011000153,M,M,PYH,,5,21,3.659686852,12.32984343,30.82701049,2.992736996,-23.14138851,2.934928689,49.34034402,-132.7458688,23.48703599,-26.13,10.91,53.12,10.28,5.17,-182.09
WF,Perch,Shore,26.9,250,0.012843493,F,M,PYH,,12,10.46,13.29199767,11.87599884,18.94071404,2.032464881,-23.20608629,1.988118841,33.42311789,-109.3443697,8.687862905,-25.24,14.29,43.65,10.42,4.19,-142.77
WF,Perch,Shore,13.4,25.2,0.010473363,F,M,SUV,-69.64409447,13,11.29898548,10.05301794,10.67600171,15.95037966,1.779018079,-28.11499104,1.739384589,29.24153978,-95.2510375,-9.327070469,-29.89,6.82,42.63,10.68,3.99,-124.49
WF,Perch,Shore,24.1,155.6,0.011116254,F,M,SUV,-69.64409447,23,13.74465486,15.47192354,14.6082892,21.82141975,2.271978405,-28.68975177,2.22362268,37.38227385,-82.03113593,2.548378945,-30.96,9.05,45.17,10.27,4.4,-119.41
WF,Roach,Profundal,15.4,40.3,0.011034252,F,M,TOT,-68.13443436,5,18.37751644,18.28984157,18.333679,27.77815555,2.753340819,-27.22738575,2.698235777,45.36119804,-107.9172123,2.047741269,-29.98,13.2,46.72,9.57,4.88,-153.28
WF,Perch,Profundal,13.4,28.2,0.011720192,?,?,TOT,-68.13443436,16,5.036539601,1.46351243,3.250026015,7.115037906,1.000066502,-27.19969846,0.977924757,16.44031221,-89.70015282,-6.962661592,-28.2,14.68,33,9.46,3.49,-106.14
WF,Perch,Pelagic,16.2,52.5,0.012348502,F,M,TOT,-68.13443436,31,3.412901953,3.758305648,3.5856038,5.810296433,0.881052864,-26.69740531,0.86198162,14.49114244,-98.48074387,15.85736746,-27.58,15.39,36.42,10.65,3.42,-112.97
WF,Bleak,Shore,17.4,37.7,0.007156383,F,M,VES,-69.27396827,2,13.91391391,5.684689237,9.799301575,8.545994117,1.129384769,-24.82036355,1.104025966,18.56025366,-106.7963187,20.15501566,-25.95,11.86,41.95,11.78,3.56,-125.36
WF,Vendace,Pelagic,19.4,58.1,0.007957395,M,M,VES,-69.27396827,9,16.45544156,14.56163605,15.50853881,20.87083081,2.19343809,-25.39307077,2.146349609,36.08320314,-108.3100629,19.64195378,-27.59,13.06,44.08,10.19,4.33,-144.39
WF,Smelt,Pelagic,17.9,30.2,0.0052656,M,M,VES,-69.27396827,16,7.760891591,6.630097782,7.195494686,9.897923865,1.250416077,-24.4702301,1.222159089,20.54624022,-98.60138494,28.10113726,-25.72,15.78,41.88,11.52,3.63,-119.15
WF,Roach,Shore,19.3,66.7,0.00927799,M,M,VES,-69.27396827,20,7.266435986,5.683355886,6.474895936,11.32702507,1.377163479,-25.56050414,1.345988428,22.62798831,-100.9116006,11.57067979,-26.94,12.3,39.7,10.69,3.71,-123.54
WF,Perch,Shore,27,240.8,0.012233907,F,M,VES,-69.27396827,34,17.25898292,14.90996399,16.08447345,25.93365623,2.606245965,-25.30758823,2.553017471,42.91987085,-94.72443091,12.32128793,-27.91,15.28,45.98,9.74,4.72,-137.64
