Tissue,Species,Site,Fish length (cm),Fish weight (gram),W/L^3,Sex (M/F),Maturity,Codelake,d2H water,Sample#,Lipid % CN,Lipid % H,Lipid % AVG,Lipid (Mc2),MC2 difference  d13C,MC2 d13C,Fry difference d13C,Fry difference d2H,Fry Modelled d2H,Residuals,d13C,d15N,%C,%N,C/N,d2H
M,Perch,Pelagic,14.2,27.5,0.009604343,F,I,PAN,-72.34988051,11,3.77016129,3.969218307,3.869689799,2.407466645,0.565610521,-29.8247017,0.555185567,9.333462504,-113.0022392,18.14662045,0.419378572,0.098613057,0.184239931,0.14663514,-0.020380755,27.48008295
M,Perch,Shore,18.7,88.2,0.013487882,F,M,PAN,-72.34988051,18,3.242388296,2.585663233,2.914025764,2.294894941,0.555048317,-29.49193646,0.544925615,9.160978056,-102.1873222,-5.526205774,0.466899997,-0.481036053,-0.177796593,0.45888598,-0.116003567,3.634772283
M,Bleak,Pelagic,15.7,36,0.009302583,F,M,PUS,-68.19082365,8,6.92,10.35689293,8.638446466,5.365065941,0.840197516,-27.96792652,0.82220456,13.82243322,-113.5981041,-3.022039887,0.503598372,0.17418126,-3.723456429,-0.043419537,-0.266217651,10.80039334
M,Roach,Pelagic,12.5,20.2,0.0103424,M,M,PUS,-68.19082365,19,4.48,5.13665439,4.808327195,5.651689325,0.866512974,-26.40413494,0.84782406,14.25313363,-123.5399681,7.050198774,0.741246416,0.190589978,-2.829837794,0.186983412,-0.250408761,21.3033324
M,Perch,Pelagic,13.9,33.7,0.012548318,F,I,PUS,-68.19082365,35,3.92,4.168386298,4.044193149,3.772523578,0.693038122,-28.73272298,0.679031665,11.41549234,-117.6030998,-0.708561898,0.585481716,0.194335818,-3.094549819,-0.113439675,-0.192460166,10.70693044
M,Roach,Pelagic,13.2,25.3,0.011000153,M,M,PYH,,5,4.04,3.853639548,3.946819774,3.753448171,0.691265683,-22.73158578,0.677308218,11.38651873,-141.8542112,11.34517055,0.597615404,0.313772209,-2.746175632,-0.234987984,-0.136191262,22.73168928
M,Perch,Shore,26.9,250,0.012843493,F,M,PYH,,12,2.72,3.608617594,3.164308797,2.194467331,0.545618609,-23.15499931,0.535766449,9.006999394,-118.1442999,8.821137078,0.346571628,0.486048275,-1.601237593,-0.224714106,-0.060024733,17.82813647
M,Perch,Shore,13.4,25.2,0.010473363,F,M,SUV,-69.64409447,13,4.243979471,4.261363636,4.252671554,5.000812885,0.806680179,-28.12427028,0.789581083,13.27398597,-104.4475989,0.442981675,0.684839066,-0.098250476,-11.10095119,-2.922250749,-0.114235012,13.71696765
M,Perch,Shore,24.1,155.6,0.011116254,F,M,SUV,-69.64409447,23,3.559288142,3.465249065,3.512268604,3.018207621,0.622771269,-28.38922434,0.610724888,10.26715783,-96.83479123,-1.00130191,0.536963062,-0.32960164,-5.923424149,-1.076573784,-0.184584197,9.265855922
M,Roach,Profundal,15.4,40.3,0.011034252,F,M,TOT,-68.13443436,5,2.959163543,2.465423933,2.712293738,2.981574986,0.619349519,-27.47429701,0.607399519,10.21125363,-124.2172547,-1.690309488,0.433958353,-0.007534224,-2.549982562,-0.12416069,-0.151658003,8.520944146
M,Perch,Profundal,13.4,28.2,0.011720192,?,?,TOT,-68.13443436,16,3.286197969,1.760064738,2.523131353,2.385389772,0.563539774,-28.18954679,0.553174012,9.299645395,-109.5449356,-8.826666946,0.197425919,1.359365662,1.389164007,0.80760884,-0.082552205,0.47297845
M,Perch,Pelagic,16.2,52.5,0.012348502,F,M,TOT,-68.13443436,31,2.681992337,2.480953311,2.581472824,1.835900587,0.511897279,-27.04241092,0.503017973,8.456450718,-112.933671,7.630806581,,,,,,16.0872573
M,Bleak,Shore,17.4,37.7,0.007156383,F,M,VES,-69.27396827,2,3.450363196,2.822739834,3.136551515,2.907040996,0.612384841,-25.28717639,0.600631286,10.09746996,-118.8417387,-3.012038694,0.323692186,0.934617547,-1.057001291,0.398180243,-0.159916965,7.085431261
M,Vendace,Pelagic,19.4,58.1,0.007957395,M,M,VES,-69.27396827,9,5.429955591,4.142368791,4.786162191,4.545274213,0.764645182,-25.79881123,0.74867887,12.58636134,-121.7429004,6.69345196,0.613615329,1.376210417,1.073920036,0.806384147,-0.110310483,19.2798133
M,Smelt,Pelagic,17.9,30.2,0.0052656,M,M,VES,-69.27396827,16,3.889437315,4.680504681,4.284970998,2.878182574,0.609687262,-24.97195501,0.598009891,10.05340056,-108.4091578,0.463018857,0.511271078,0.640288256,0.212438147,0.441656823,-0.08338722,10.51641942
M,Roach,Shore,19.3,66.7,0.00927799,M,M,VES,-69.27396827,20,3.261937512,2.644719808,2.95332866,2.138496938,0.540360395,-25.89332897,0.53065938,8.921142266,-123.4015136,-1.992893372,0.313927209,-0.473005469,-17.17003784,-4.897873931,-0.135859103,6.928248894
M,Perch,Shore,27,240.8,0.012233907,F,M,VES,-69.27396827,34,2.047020673,2.409867173,2.228443923,2.384399893,0.563446919,-25.33038391,0.553083812,9.298129001,-112.1187843,2.894810689,0.209659967,1.179961627,0.091121077,0.200357902,-0.038637301,12.19293969
WF,Roach,Shore,17.3,47.1,0.009096673,F,M,ALA,-81.69802032,1,15.45328308,15.04562221,15.24945264,23.28191261,2.391710727,-28.65130407,2.341512621,39.36417218,-110.6246805,-3.390442332,1.705694361,0.766378234,-7.757762299,0.934894021,-1.119651218,35.97372984
WF,Perch,Shore,18.3,62.1,0.010133007,F,I,ALA,-81.69802032,6,3.386138614,3.771721959,3.578930286,6.574268765,0.950867927,-27.61554268,0.929982734,15.6343383,-78.58835984,10.1688049,0.495589368,0.642425909,0.44593327,0.707811581,-0.173499415,25.8031432
WF,Bleak,Pelagic,15.9,29.1,0.007239384,M,M,ALA,-81.69802032,21,16.82389937,14.65302047,15.73845992,31.00562447,3.006619432,-25.83497177,2.948667717,49.5713167,-95.32564696,11.74264357,2.143687551,1.278379717,-6.780943751,2.94020483,-1.994451892,61.31396027
WF,Vendace,Shore,14.9,32.1,0.009703898,F,M,ALJ,-79.50001648,2,21.21811351,23.92302646,22.57056998,28.94267992,2.845324659,-29.41518272,2.789129475,46.88925095,-109.6910546,14.79385297,2.368124596,0.259034622,-0.786926532,4.325291389,-1.70855482,61.68310393
WF,Bleak,Shore,18.9,49.1,0.007272707,F,M,ALJ,-79.50001648,8,17.82158098,24.16687866,20.99422982,30.21846377,2.945321478,-26.89166397,2.888014029,48.55164157,-126.0775275,16.41216723,3.345924932,-0.439058649,-18.32759351,-0.936647265,-1.787556786,64.9638088
WF,Roach,Shore,19.5,91.4,0.012326573,F,M,ALJ,-79.50001648,15,8.430404738,8.562325767,8.496365253,18.00271558,1.953499455,-27.38025714,1.910569962,32.11941045,-92.93585207,-3.730660993,1.187700115,0.387524568,0.635256501,2.669128869,-0.830782732,28.38874946
