Tissue,Species,Site,Fish length (cm),Fish weight (gram),W/L^3,Sex (M/F),Maturity,Codelake,d2H water,Sample#,Lipid % CN,Lipid % H,Lipid % AVG,Lipid (Mc2),MC2 difference  d13C,MC2 d13C,Fry difference d13C,Fry difference d2H,Fry Modelled d2H,Residuals,d13C,d15N,%C,%N,C/N,d2H
M,Roach,Pelagic,12.5,20.2,0.0103424,M,M,PUS,-68.19082365,19,4.48,5.13665439,4.808327195,5.651689325,0.866512974,-26.40413494,0.84782406,14.25313363,-123.5399681,7.050198774,-26.53,12.94,43.81,13.85,3.16,-116.49
M,Perch,Pelagic,13.9,33.7,0.012548318,F,I,PUS,-68.19082365,35,3.92,4.168386298,4.044193149,3.772523578,0.693038122,-28.73272298,0.679031665,11.41549234,-117.6030998,-0.708561898,-28.84,13.59,44.2,14.12,3.13,-118.31
M,Roach,Pelagic,13.2,25.3,0.011000153,M,M,PYH,,5,4.04,3.853639548,3.946819774,3.753448171,0.691265683,-22.73158578,0.677308218,11.38651873,-141.8542112,11.34517055,-22.83,11.56,45.97,14.43,3.19,-130.51
M,Perch,Shore,26.9,250,0.012843493,F,M,PYH,,12,2.72,3.608617594,3.164308797,2.194467331,0.545618609,-23.15499931,0.535766449,9.006999394,-118.1442999,8.821137078,-23.35,15.18,46.28,14.51,3.19,-109.32
M,Perch,Shore,13.4,25.2,0.010473363,F,M,SUV,-69.64409447,13,4.243979471,4.261363636,4.252671554,5.000812885,0.806680179,-28.12427028,0.789581083,13.27398597,-104.4475989,0.442981675,-28.25,7.37,34.88,10.68,3.27,-104
M,Perch,Shore,24.1,155.6,0.011116254,F,M,SUV,-69.64409447,23,3.559288142,3.465249065,3.512268604,3.018207621,0.622771269,-28.38922434,0.610724888,10.26715783,-96.83479123,-1.00130191,-28.48,8.76,40.08,12.92,3.1,-97.84
M,Roach,Profundal,15.4,40.3,0.011034252,F,M,TOT,-68.13443436,5,2.959163543,2.465423933,2.712293738,2.981574986,0.619349519,-27.47429701,0.607399519,10.21125363,-124.2172547,-1.690309488,-27.66,13.55,44.26,14.12,3.13,-125.91
M,Perch,Profundal,13.4,28.2,0.011720192,?,?,TOT,-68.13443436,16,3.286197969,1.760064738,2.523131353,2.385389772,0.563539774,-28.18954679,0.553174012,9.299645395,-109.5449356,-8.826666946,-28.56,15.57,47.75,15.04,3.17,-118.37
M,Perch,Pelagic,16.2,52.5,0.012348502,F,M,TOT,-68.13443436,31,2.681992337,2.480953311,2.581472824,1.835900587,0.511897279,-27.04241092,0.503017973,8.456450718,-112.933671,7.630806581,,,,,,-105.3
M,Bleak,Shore,17.4,37.7,0.007156383,F,M,VES,-69.27396827,2,3.450363196,2.822739834,3.136551515,2.907040996,0.612384841,-25.28717639,0.600631286,10.09746996,-118.8417387,-3.012038694,-25.58,12.8,46.14,14.78,3.12,-121.85
M,Vendace,Pelagic,19.4,58.1,0.007957395,M,M,VES,-69.27396827,9,5.429955591,4.142368791,4.786162191,4.545274213,0.764645182,-25.79881123,0.74867887,12.58636134,-121.7429004,6.69345196,-25.95,14.53,48.15,14.82,3.25,-115.05
M,Smelt,Pelagic,17.9,30.2,0.0052656,M,M,VES,-69.27396827,16,3.889437315,4.680504681,4.284970998,2.878182574,0.609687262,-24.97195501,0.598009891,10.05340056,-108.4091578,0.463018857,-25.07,15.69,47.4,14.83,3.2,-107.95
M,Roach,Shore,19.3,66.7,0.00927799,M,M,VES,-69.27396827,20,3.261937512,2.644719808,2.95332866,2.138496938,0.540360395,-25.89332897,0.53065938,8.921142266,-123.4015136,-1.992893372,-26.12,11.93,29.1,9.36,3.11,-125.39
M,Perch,Shore,27,240.8,0.012233907,F,M,VES,-69.27396827,34,2.047020673,2.409867173,2.228443923,2.384399893,0.563446919,-25.33038391,0.553083812,9.298129001,-112.1187843,2.894810689,-25.68,16.54,46.78,14.53,3.22,-109.22
WF,Roach,Shore,17.3,47.1,0.009096673,F,M,ALA,-81.69802032,1,15.45328308,15.04562221,15.24945264,23.28191261,2.391710727,-28.65130407,2.341512621,39.36417218,-110.6246805,-3.390442332,-29.34,7.27,36.23,10.69,3.39,-114.02
WF,Perch,Shore,18.3,62.1,0.010133007,F,I,ALA,-81.69802032,6,3.386138614,3.771721959,3.578930286,6.574268765,0.950867927,-27.61554268,0.929982734,15.6343383,-78.58835984,10.1688049,-28.07,8.8,37.93,11.54,3.29,-68.42
WF,Bleak,Pelagic,15.9,29.1,0.007239384,M,M,ALA,-81.69802032,21,16.82389937,14.65302047,15.73845992,31.00562447,3.006619432,-25.83497177,2.948667717,49.5713167,-95.32564696,11.74264357,-26.7,7.49,35.21,11.04,3.19,-83.58
WF,Vendace,Shore,14.9,32.1,0.009703898,F,M,ALJ,-79.50001648,2,21.21811351,23.92302646,22.57056998,28.94267992,2.845324659,-29.41518272,2.789129475,46.88925095,-109.6910546,14.79385297,-29.89,11.65,42.9,13.09,3.28,-94.9
WF,Bleak,Shore,18.9,49.1,0.007272707,F,M,ALJ,-79.50001648,8,17.82158098,24.16687866,20.99422982,30.21846377,2.945321478,-26.89166397,2.888014029,48.55164157,-126.0775275,16.41216723,-26.49,8.68,25.15,7.58,3.32,-109.67
WF,Roach,Shore,19.5,91.4,0.012326573,F,M,ALJ,-79.50001648,15,8.430404738,8.562325767,8.496365253,18.00271558,1.953499455,-27.38025714,1.910569962,32.11941045,-92.93585207,-3.730660993,-28.15,11.53,41.17,12.49,3.3,-96.67
WF,Perch,Shore,12.5,22.2,0.0113664,F,I,ALJ,-79.50001648,24,8.573702009,7.241292909,7.907497459,14.25806568,1.633355969,-28.43671763,1.596648876,26.84194853,-98.94566089,8.641747543,-28.6,13.04,32.04,9.64,3.32,-90.3
